targeted,itemType,name1,name2,prompt,choiceNameFirst,choice1,choice2
first,drug,Themaglin,Rebosen,The drug Themaglin has been found to be associated with Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
first,disease,Themaglin,Rebosen,The disease Themaglin has been found to be associated with Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
first,drug,Themaglin,Rebosen,The drug Themaglin has been found to be associated with Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
first,disease,Themaglin,Rebosen,The disease Themaglin has been found to be associated with Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
second,drug,Themaglin,Rebosen,Themaglin has been found to be associated with the drug Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
second,disease,Themaglin,Rebosen,Themaglin has been found to be associated with the disease Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
second,drug,Themaglin,Rebosen,Themaglin has been found to be associated with the drug Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
second,disease,Themaglin,Rebosen,Themaglin has been found to be associated with the disease Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
first,drug,Themaglin,Denoden,The drug Themaglin has been found to be associated with Denoden.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
first,disease,Themaglin,Denoden,The disease Themaglin has been found to be associated with Denoden.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
first,drug,Themaglin,Denoden,The drug Themaglin has been found to be associated with Denoden.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
first,disease,Themaglin,Denoden,The disease Themaglin has been found to be associated with Denoden.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
second,drug,Themaglin,Denoden,Themaglin has been found to be associated with the drug Denoden.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
second,disease,Themaglin,Denoden,Themaglin has been found to be associated with the disease Denoden.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
second,drug,Themaglin,Denoden,Themaglin has been found to be associated with the drug Denoden.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
second,disease,Themaglin,Denoden,Themaglin has been found to be associated with the disease Denoden.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
first,drug,Themaglin,Flembers,The drug Themaglin has been found to be associated with Flembers.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
first,disease,Themaglin,Flembers,The disease Themaglin has been found to be associated with Flembers.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
first,drug,Themaglin,Flembers,The drug Themaglin has been found to be associated with Flembers.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
first,disease,Themaglin,Flembers,The disease Themaglin has been found to be associated with Flembers.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
second,drug,Themaglin,Flembers,Themaglin has been found to be associated with the drug Flembers.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
second,disease,Themaglin,Flembers,Themaglin has been found to be associated with the disease Flembers.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
second,drug,Themaglin,Flembers,Themaglin has been found to be associated with the drug Flembers.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
second,disease,Themaglin,Flembers,Themaglin has been found to be associated with the disease Flembers.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
first,drug,Themaglin,Agoriv,The drug Themaglin has been found to be associated with Agoriv.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
first,disease,Themaglin,Agoriv,The disease Themaglin has been found to be associated with Agoriv.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
first,drug,Themaglin,Agoriv,The drug Themaglin has been found to be associated with Agoriv.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
first,disease,Themaglin,Agoriv,The disease Themaglin has been found to be associated with Agoriv.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
second,drug,Themaglin,Agoriv,Themaglin has been found to be associated with the drug Agoriv.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
second,disease,Themaglin,Agoriv,Themaglin has been found to be associated with the disease Agoriv.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
second,drug,Themaglin,Agoriv,Themaglin has been found to be associated with the drug Agoriv.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
second,disease,Themaglin,Agoriv,Themaglin has been found to be associated with the disease Agoriv.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
first,drug,Themaglin,Ceflar,The drug Themaglin has been found to be associated with Ceflar.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
first,disease,Themaglin,Ceflar,The disease Themaglin has been found to be associated with Ceflar.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
first,drug,Themaglin,Ceflar,The drug Themaglin has been found to be associated with Ceflar.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
first,disease,Themaglin,Ceflar,The disease Themaglin has been found to be associated with Ceflar.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
second,drug,Themaglin,Ceflar,Themaglin has been found to be associated with the drug Ceflar.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
second,disease,Themaglin,Ceflar,Themaglin has been found to be associated with the disease Ceflar.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
second,drug,Themaglin,Ceflar,Themaglin has been found to be associated with the drug Ceflar.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
second,disease,Themaglin,Ceflar,Themaglin has been found to be associated with the disease Ceflar.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
first,drug,Rebosen,Themaglin,The drug Rebosen has been found to be associated with Themaglin.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
first,disease,Rebosen,Themaglin,The disease Rebosen has been found to be associated with Themaglin.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
first,drug,Rebosen,Themaglin,The drug Rebosen has been found to be associated with Themaglin.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
first,disease,Rebosen,Themaglin,The disease Rebosen has been found to be associated with Themaglin.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
second,drug,Rebosen,Themaglin,Rebosen has been found to be associated with the drug Themaglin.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
second,disease,Rebosen,Themaglin,Rebosen has been found to be associated with the disease Themaglin.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
second,drug,Rebosen,Themaglin,Rebosen has been found to be associated with the drug Themaglin.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
second,disease,Rebosen,Themaglin,Rebosen has been found to be associated with the disease Themaglin.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
first,drug,Rebosen,Denoden,The drug Rebosen has been found to be associated with Denoden.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
first,disease,Rebosen,Denoden,The disease Rebosen has been found to be associated with Denoden.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
first,drug,Rebosen,Denoden,The drug Rebosen has been found to be associated with Denoden.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
first,disease,Rebosen,Denoden,The disease Rebosen has been found to be associated with Denoden.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
second,drug,Rebosen,Denoden,Rebosen has been found to be associated with the drug Denoden.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
second,disease,Rebosen,Denoden,Rebosen has been found to be associated with the disease Denoden.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
second,drug,Rebosen,Denoden,Rebosen has been found to be associated with the drug Denoden.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
second,disease,Rebosen,Denoden,Rebosen has been found to be associated with the disease Denoden.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
first,drug,Rebosen,Flembers,The drug Rebosen has been found to be associated with Flembers.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
first,disease,Rebosen,Flembers,The disease Rebosen has been found to be associated with Flembers.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
first,drug,Rebosen,Flembers,The drug Rebosen has been found to be associated with Flembers.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
first,disease,Rebosen,Flembers,The disease Rebosen has been found to be associated with Flembers.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
second,drug,Rebosen,Flembers,Rebosen has been found to be associated with the drug Flembers.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
second,disease,Rebosen,Flembers,Rebosen has been found to be associated with the disease Flembers.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
second,drug,Rebosen,Flembers,Rebosen has been found to be associated with the drug Flembers.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
second,disease,Rebosen,Flembers,Rebosen has been found to be associated with the disease Flembers.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
first,drug,Rebosen,Agoriv,The drug Rebosen has been found to be associated with Agoriv.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
first,disease,Rebosen,Agoriv,The disease Rebosen has been found to be associated with Agoriv.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
first,drug,Rebosen,Agoriv,The drug Rebosen has been found to be associated with Agoriv.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
first,disease,Rebosen,Agoriv,The disease Rebosen has been found to be associated with Agoriv.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
second,drug,Rebosen,Agoriv,Rebosen has been found to be associated with the drug Agoriv.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
second,disease,Rebosen,Agoriv,Rebosen has been found to be associated with the disease Agoriv.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
second,drug,Rebosen,Agoriv,Rebosen has been found to be associated with the drug Agoriv.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
second,disease,Rebosen,Agoriv,Rebosen has been found to be associated with the disease Agoriv.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
first,drug,Rebosen,Ceflar,The drug Rebosen has been found to be associated with Ceflar.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
