QUDTarget,statementFirst,treatment,name1,name2,QUD,statement,choiceNameFirst,choice1,choice2
first,first,observation,Themaglin,Rebosen,I was surprised to see Themaglin in yesterday's sample.,Themaglin is associated with Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
first,first,avoidance,Themaglin,Rebosen,I am surprised that you think Themaglin should be removed from the samples.,Themaglin is associated with Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
second,first,observation,Themaglin,Rebosen,I was surprised to see Rebosen in yesterday's sample.,Themaglin is associated with Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
second,first,avoidance,Themaglin,Rebosen,I am surprised that you think Rebosen should be removed from the samples.,Themaglin is associated with Rebosen.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
first,second,observation,Themaglin,Rebosen,I was surprised to see Themaglin in yesterday's sample.,Rebosen is associated with Themaglin.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
first,second,avoidance,Themaglin,Rebosen,I am surprised that you think Themaglin should be removed from the samples.,Rebosen is associated with Themaglin.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
second,second,observation,Themaglin,Rebosen,I was surprised to see Rebosen in yesterday's sample.,Rebosen is associated with Themaglin.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
second,second,avoidance,Themaglin,Rebosen,I am surprised that you think Rebosen should be removed from the samples.,Rebosen is associated with Themaglin.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
first,first,observation,Themaglin,Rebosen,I was surprised to see Themaglin in yesterday's sample.,Themaglin is associated with Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
first,first,avoidance,Themaglin,Rebosen,I am surprised that you think Themaglin should be removed from the samples.,Themaglin is associated with Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
second,first,observation,Themaglin,Rebosen,I was surprised to see Rebosen in yesterday's sample.,Themaglin is associated with Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
second,first,avoidance,Themaglin,Rebosen,I am surprised that you think Rebosen should be removed from the samples.,Themaglin is associated with Rebosen.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
first,second,observation,Themaglin,Rebosen,I was surprised to see Themaglin in yesterday's sample.,Rebosen is associated with Themaglin.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
first,second,avoidance,Themaglin,Rebosen,I am surprised that you think Themaglin should be removed from the samples.,Rebosen is associated with Themaglin.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
second,second,observation,Themaglin,Rebosen,I was surprised to see Rebosen in yesterday's sample.,Rebosen is associated with Themaglin.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
second,second,avoidance,Themaglin,Rebosen,I am surprised that you think Rebosen should be removed from the samples.,Rebosen is associated with Themaglin.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
first,first,observation,Themaglin,Denoden,I was surprised to see Themaglin in yesterday's sample.,Themaglin is associated with Denoden.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
first,first,avoidance,Themaglin,Denoden,I am surprised that you think Themaglin should be removed from the samples.,Themaglin is associated with Denoden.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
