submission_id,age,choice1,choice2,choiceNameFirst,comments,condition,education,experiment_duration,experiment_end_time,experiment_start_time,gender,languages,name1,name2,prolific_pid,prolific_session_id,prolific_study_id,response,responseTime,trialNR
1223,71,Denoden causes Rebosen.,Rebosen causes Denoden.,Denoden,,firstTopic,Did not graduate High-school,44888,1705060767414,1705060722526,female,English ,Denoden,Rebosen,61684a263a8f291d6b91bc71,65a1296afb05be4e2018dbbf,65a122e9f05db70790ca9ad7,Rebosen causes Denoden.,25021,0
1224,28,Denoden causes Rebosen.,Rebosen causes Denoden.,Denoden,,secondTopic,Graduated College,29524,1705060765517,1705060735993,female,english,Rebosen,Denoden,5eceb8411480c30fb89c7c54,65a1297c3e3c1e062944d092,65a122e9f05db70790ca9ad7,Denoden causes Rebosen.,13012,0
1225,49,Flembers causes Denoden.,Denoden causes Flembers.,Flembers,,firstTopic,Graduated High-school,68113,1705060776488,1705060708375,female,English,Flembers,Denoden,5ec965e582d87846468261ef,65a1295aea25afdc0b128cdb,65a122e9f05db70790ca9ad7,Flembers causes Denoden.,27618,0
1238,26,Ceflar causes Flembers.,Flembers causes Ceflar.,Ceflar,,secondTopic,Graduated College,42891,1705060825022,1705060782131,female,English,Flembers,Ceflar,6310a6c16d94cd480a8d745c,65a129a6080aacaa17759e4f,65a122e9f05db70790ca9ad7,Ceflar causes Flembers.,16188,0
1254,32,Flembers causes Denoden.,Denoden causes Flembers.,Flembers,,secondTopic,Higher degree,31868,1705060872268,1705060840400,female,Polish,Flembers,Denoden,57157f2530185b0008b40606,65a129da3aeaef761c62e1cb,65a122e9f05db70790ca9ad7,Denoden causes Flembers.,14908,0
1226,66,Agoriv causes Themaglin.,Themaglin causes Agoriv.,Agoriv,,firstTopic,Graduated High-school,53691,1705060778716,1705060725025,male,English,Agoriv,Themaglin,5ceef64577a506001714c032,65a1296b67f422e1d9acbcdd,65a122e9f05db70790ca9ad7,Themaglin causes Agoriv.,30448,0
1232,31,Rebosen causes Themaglin.,Themaglin causes Rebosen.,Rebosen,,firstTopic,Higher degree,55492,1705060808334,1705060752842,female,English,Rebosen,Themaglin,60fd58f89d037589c34f5a18,65a1298c51e0a8b62ad58542,65a122e9f05db70790ca9ad7,Rebosen causes Themaglin.,25527,0
1243,23,Ceflar causes Denoden.,Denoden causes Ceflar.,Ceflar,,secondTopic,Graduated College,23050,1705060831300,1705060808250,female,"english, welsh",Ceflar,Denoden,5aa297fe1ade740001b94bb7,65a129c31f0ed40bc632a91a,65a122e9f05db70790ca9ad7,Ceflar causes Denoden.,8944,0
1255,56,Denoden causes Ceflar.,Ceflar causes Denoden.,Denoden,,secondTopic,Higher degree,62172,1705060872758,1705060810586,female,English,Denoden,Ceflar,6076b6aef23dd6abe21ce231,65a129c44a417b3218a2b268,65a122e9f05db70790ca9ad7,Denoden causes Ceflar.,37469,0
1227,42,Flembers causes Rebosen.,Rebosen causes Flembers.,Flembers,,firstTopic,Higher degree,25968,1705060797179,1705060771211,male,English,Flembers,Rebosen,5cb5941ba7dfd50001759040,65a1299e03c8518df19b7262,65a122e9f05db70790ca9ad7,Rebosen causes Flembers.,15326,0
1228,38,Flembers causes Denoden.,Denoden causes Flembers.,Flembers,,secondTopic,Graduated High-school,48472,1705060802455,1705060753983,female,English,Denoden,Flembers,6158e8533a2bc1a989fc0b22,65a1298a8965b3592f77355e,65a122e9f05db70790ca9ad7,Flembers causes Denoden.,13548,0
1246,46,Flembers causes Rebosen.,Rebosen causes Flembers.,Flembers,no,firstTopic,Higher degree,39870,1705060841391,1705060801521,female,English,Flembers,Rebosen,60400327a152361b2838dcc3,65a129b9133343091318d943,65a122e9f05db70790ca9ad7,Rebosen causes Flembers.,17537,0
1251,39,Flembers causes Agoriv.,Agoriv causes Flembers.,Flembers,,firstTopic,Graduated High-school,30724,1705060858623,1705060827899,male,English,Agoriv,Flembers,5b11413a30d562000155b605,65a129a13f1e0b7d5f097e12,65a122e9f05db70790ca9ad7,Flembers causes Agoriv.,5934,0
1252,28,Denoden causes Agoriv.,Agoriv causes Denoden.,Denoden,,secondTopic,Higher degree,46298,1705060864669,1705060818371,male,English,Denoden,Agoriv,5af88400a013a50001033441,65a129cc980d7c61b759126b,65a122e9f05db70790ca9ad7,Agoriv causes Denoden.,26139,0
1257,71,Agoriv causes Rebosen.,Rebosen causes Agoriv.,Agoriv,,secondTopic,Graduated College,66604,1705060878334,1705060811730,male,English ,Rebosen,Agoriv,5b90696e50f7ce00016007aa,65a129c1c95bfc2b1c014aee,65a122e9f05db70790ca9ad7,Agoriv causes Rebosen.,35456,0
