submission_id,age,choice1,choice2,choiceNameFirst,comments,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemType,languages,name1,name2,prompt,response,responseTime,targeted,trialNR
1732,65,Agoriv causes Flembers.,Flembers causes Agoriv.,Agoriv,Either interpretation could be correct,Graduated College,70483,1705074749508,1705074679025,female,disease,English,Agoriv,Flembers,Agoriv has been found to be associated with the disease Flembers.,Flembers causes Agoriv.,30048,second,0
1734,20,Denoden causes Rebosen.,Rebosen causes Denoden.,Denoden,Easy to use and understand :),Graduated High-school,58653,1705074752744,1705074694091,female,drug,English ,Rebosen,Denoden,Rebosen has been found to be associated with the drug Denoden.,Denoden causes Rebosen.,21324,second,0
1737,43,Denoden causes Agoriv.,Agoriv causes Denoden.,Denoden,,Graduated High-school,52641,1705074762987,1705074710346,female,drug,english,Denoden,Agoriv,The drug Denoden has been found to be associated with Agoriv.,Denoden causes Agoriv.,24048,first,0
1739,67,Rebosen causes Themaglin.,Themaglin causes Rebosen.,Rebosen,,Graduated College,35359,1705074771775,1705074736416,female,disease,English ,Themaglin,Rebosen,The disease Themaglin has been found to be associated with Rebosen.,Rebosen causes Themaglin.,14396,first,0
1736,62,Flembers causes Agoriv.,Agoriv causes Flembers.,Flembers,,Higher degree,49011,1705074755739,1705074706728,male,drug,English,Flembers,Agoriv,The drug Flembers has been found to be associated with Agoriv.,Flembers causes Agoriv.,17215,first,0
1738,55,Agoriv causes Flembers.,Flembers causes Agoriv.,Agoriv,None,Graduated High-school,59707,1705074758729,1705074699022,male,disease,English,Flembers,Agoriv,Flembers has been found to be associated with the disease Agoriv.,Flembers causes Agoriv.,30926,second,0
1743,36,Themaglin causes Agoriv.,Agoriv causes Themaglin.,Themaglin,No comments,Graduated High-school,24856,1705074811804,1705074786948,male,drug,English,Themaglin,Agoriv,Themaglin has been found to be associated with the drug Agoriv.,Themaglin causes Agoriv.,11296,second,0
1745,42,Ceflar causes Rebosen.,Rebosen causes Ceflar.,Ceflar,,Higher degree,48306,1705074823478,1705074775172,female,drug,English,Rebosen,Ceflar,Rebosen has been found to be associated with the drug Ceflar.,Ceflar causes Rebosen.,14490,second,0
1748,34,Themaglin causes Rebosen.,Rebosen causes Themaglin.,Themaglin,,Graduated College,310058,1705074936308,1705074626250,female,drug,english,Rebosen,Themaglin,The drug Rebosen has been found to be associated with Themaglin.,Rebosen causes Themaglin.,28766,first,0
1749,76,Flembers causes Rebosen.,Rebosen causes Flembers.,Flembers,Where was the 'neither' option? A more than somewhatlack of intelligent choice.,Graduated High-school,313118,1705075025834,1705074712716,male,disease,English,Rebosen,Flembers,The disease Rebosen has been found to be associated with Flembers.,Rebosen causes Flembers.,41395,first,0
