submission_id,QUD,QUDTarget,age,choice1,choice2,choiceNameFirst,comments,education,experiment_duration,experiment_end_time,experiment_start_time,gender,languages,name1,name2,prolific_pid,prolific_session_id,prolific_study_id,response,responseTime,statement,statementFirst,treatment,trialNR
1836,I was surprised to see Flembers in yesterday's sample.,first,32,Flembers causes Themaglin.,Themaglin causes Flembers.,Flembers,,Graduated High-school,36561,1709909200891,1709909164330,male,English,Flembers,Themaglin,5e95d0925f33bb028f4cd6e5,65eb24a59a2b3ae0a65db503,65eb1de69438b51c1c55a653,Flembers causes Themaglin.,20320,Flembers is associated with Themaglin.,first,observation,0
1844,I was surprised to see Rebosen in yesterday's sample.,first,39,Rebosen causes Agoriv.,Agoriv causes Rebosen.,Rebosen,,Higher degree,38925,1709909235905,1709909196980,female,English,Rebosen,Agoriv,62d6e100609ad53fa5d91e8b,65eb24c737857445d03b6f07,65eb1de69438b51c1c55a653,Agoriv causes Rebosen.,15717,Rebosen is associated with Agoriv.,first,observation,0
1843,I am surprised that you think Ceflar should be removed from the samples.,first,70,Ceflar causes Denoden.,Denoden causes Ceflar.,Ceflar,none,Did not graduate High-school,134453,1709909232102,1709909097649,female,English,Ceflar,Denoden,5f2178ec626bc35254b5145e,65eb2455acf242f26d34a2e9,65eb1de69438b51c1c55a653,Ceflar causes Denoden.,75315,Ceflar is associated with Denoden.,first,avoidance,0
1884,I was surprised to see Denoden in yesterday's sample.,first,20,Flembers causes Denoden.,Denoden causes Flembers.,Flembers,,Graduated High-school,29820,1709909372410,1709909342590,male,,Denoden,Flembers,61210a179b370b4734d4adb9,65eb25595cc8b96eaa8ffb49,65eb1de69438b51c1c55a653,Flembers causes Denoden.,19318,Denoden is associated with Flembers.,first,observation,0
1846,I was surprised to see Denoden in yesterday's sample.,second,28,Denoden causes Agoriv.,Agoriv causes Denoden.,Denoden,N/a,Higher degree,60260,1709909244711,1709909184451,female,"English, Gujarati ",Agoriv,Denoden,634b26ce0aaab507fa36b71c,65eb24b95a255115383d97be,65eb1de69438b51c1c55a653,Agoriv causes Denoden.,26982,Denoden is associated with Agoriv.,second,observation,0
1860,I am surprised that you think Flembers should be removed from the samples.,first,61,Denoden causes Flembers.,Flembers causes Denoden.,Denoden,,Graduated High-school,121413,1709909304564,1709909183151,male,English,Flembers,Denoden,5be4c6f601b0c8000191b115,65eb24b827f782646fc94752,65eb1de69438b51c1c55a653,Denoden causes Flembers.,93039,Flembers is associated with Denoden.,first,avoidance,0
1869,I am surprised that you think Agoriv should be removed from the samples.,first,35,Denoden causes Agoriv.,Agoriv causes Denoden.,Denoden,,Higher degree,51901,1709909326291,1709909274390,female,English ,Agoriv,Denoden,5eff6fd3df28dd030b143249,65eb251471dabeb0c788c686,65eb1de69438b51c1c55a653,Agoriv causes Denoden.,31204,Agoriv is associated with Denoden.,first,avoidance,0
1850,I was surprised to see Themaglin in yesterday's sample.,second,56,Themaglin causes Agoriv.,Agoriv causes Themaglin.,Themaglin,,Graduated High-school,71010,1709909259543,1709909188533,male,english,Agoriv,Themaglin,5ca9f8926025570001c872f3,65eb24be27489ffafd1506e6,65eb1de69438b51c1c55a653,Agoriv causes Themaglin.,47872,Agoriv is associated with Themaglin.,first,observation,0
1852,I am surprised that you think Ceflar should be removed from the samples.,second,47,Rebosen causes Ceflar.,Ceflar causes Rebosen.,Rebosen,,Higher degree,80675,1709909274820,1709909194145,female,English ,Rebosen,Ceflar,616ab1b6df359dcb87a8b0e5,65eb24c1a49cf4ebb0d647dd,65eb1de69438b51c1c55a653,Rebosen causes Ceflar.,54131,Rebosen is associated with Ceflar.,first,avoidance,0
1856,I was surprised to see Denoden in yesterday's sample.,first,38,Flembers causes Denoden.,Denoden causes Flembers.,Flembers,,Higher degree,43667,1709909295069,1709909251402,male,english,Denoden,Flembers,5fd000fb59f1540347d18088,65eb24fc719bcd3081dc3c23,65eb1de69438b51c1c55a653,Denoden causes Flembers.,22664,Denoden is associated with Flembers.,first,observation,0
