submission_id,QUD,age,choice1,choice2,choiceNameFirst,comments,condition,education,experiment_duration,experiment_end_time,experiment_start_time,gender,languages,name1,name2,prolific_pid,prolific_session_id,prolific_study_id,response,responseTime,statement,statementFirst,topic,trialNR
2196,Can you tell me something about Rebosen?,63,Rebosen causes Agoriv.,Agoriv causes Rebosen.,Rebosen,,topic-is-PP,Graduated College,117071,1710583482411,1710583365340,male,,Rebosen,Agoriv,5ea6f118ffcc05082764a8d4,65f56e3007e74f050a062b25,65f560505a0fd1f1dad5a605,Rebosen causes Agoriv.,82418,Agoriv is associated with Rebosen.,second,first,0
2166,Can you tell me something about Rebosen?,30,Rebosen causes Themaglin.,Themaglin causes Rebosen.,Rebosen,,topic-is-PP,Graduated High-school,36538,1710582877697,1710582841159,male,English,Themaglin,Rebosen,58c96ae35d4292000141491d,65f56c594d61aa2462a03347,65f560505a0fd1f1dad5a605,Themaglin causes Rebosen.,18623,Themaglin is associated with Rebosen.,first,second,0
2167,Can you tell me something about Flembers?,37,Themaglin causes Flembers.,Flembers causes Themaglin.,Themaglin,,topic-is-subject,Higher degree,36189,1710582950191,1710582914002,male,English,Themaglin,Flembers,5d6172922648560016056044,65f56c70499489572acce3f3,65f560505a0fd1f1dad5a605,Themaglin causes Flembers.,20631,Flembers is associated with Themaglin.,second,second,0
2168,Can you tell me something about Flembers?,61,Ceflar causes Flembers.,Flembers causes Ceflar.,Ceflar,,topic-is-PP,Did not graduate High-school,83465,1710582997422,1710582913957,female,English,Flembers,Ceflar,5ce2d91fb8d9ae001a4dda94,65f56c74499489572acce3f5,65f560505a0fd1f1dad5a605,Flembers causes Ceflar.,41431,Ceflar is associated with Flembers.,second,first,0
2169,Can you tell me something about Rebosen?,36,Ceflar causes Rebosen.,Rebosen causes Ceflar.,Ceflar,,topic-is-PP,Higher degree,46270,1710583047529,1710583001259,female,English ,Ceflar,Rebosen,61004900afdd388c5aef5702,65f56cd2fcabf3140fc134b5,65f560505a0fd1f1dad5a605,Ceflar causes Rebosen.,17098,Ceflar is associated with Rebosen.,first,second,0
2195,Can you tell me something about Themaglin?,48,Themaglin causes Ceflar.,Ceflar causes Themaglin.,Themaglin,,topic-is-PP,Graduated High-school,23487,1710583480228,1710583456741,female,english,Ceflar,Themaglin,594adf605209de0001431328,65f56e9e2466df97bed4620f,65f560505a0fd1f1dad5a605,Ceflar causes Themaglin.,12768,Ceflar is associated with Themaglin.,first,second,0
2200,Can you tell me something about Ceflar?,29,Ceflar causes Flembers.,Flembers causes Ceflar.,Ceflar,,topic-is-subject,Graduated High-school,91933,1710583542083,1710583450150,female,English,Ceflar,Flembers,631a1e8f0880ac8a21d5dc57,65f56e91fcabf3140fc13505,65f560505a0fd1f1dad5a605,Flembers causes Ceflar.,53661,Ceflar is associated with Flembers.,first,first,0
2210,Can you tell me something about Rebosen?,43,Rebosen causes Flembers.,Flembers causes Rebosen.,Rebosen,,topic-is-PP,Graduated College,38793,1710583629391,1710583590598,female,English ,Flembers,Rebosen,5cd71e04b3ea230015f83bfe,65f56f1dcf58d60ef65edc75,65f560505a0fd1f1dad5a605,Rebosen causes Flembers.,20302,Flembers is associated with Rebosen.,first,second,0
2212,Can you tell me something about Agoriv?,54,Ceflar causes Agoriv.,Agoriv causes Ceflar.,Ceflar,,topic-is-subject,Higher degree,77836,1710583641681,1710583563845,female,,Ceflar,Agoriv,59380678cd539c000157c457,65f56f04a4fe5d0913280f47,65f560505a0fd1f1dad5a605,Ceflar causes Agoriv.,56842,Agoriv is associated with Ceflar.,second,second,0
2219,Can you tell me something about Denoden?,37,Rebosen causes Denoden.,Denoden causes Rebosen.,Rebosen,,topic-is-subject,Graduated High-school,32075,1710583683632,1710583651557,female,english,Denoden,Rebosen,59e74251d838ae0001850b6a,65f56f60aa9026db59ebf2e7,65f560505a0fd1f1dad5a605,Denoden causes Rebosen.,13166,Denoden is associated with Rebosen.,first,first,0
2220,Can you tell me something about Denoden?,24,Ceflar causes Denoden.,Denoden causes Ceflar.,Ceflar,,topic-is-PP,Graduated College,29193,1710583695820,1710583666627,female,english,Ceflar,Denoden,60ec9212ee17ee6d4945f7de,65f56f515a0fd1f1dad5a8a6,65f560505a0fd1f1dad5a605,Ceflar causes Denoden.,13487,Ceflar is associated with Denoden.,first,second,0
2222,Can you tell me something about Ceflar?,35,Ceflar causes Denoden.,Denoden causes Ceflar.,Ceflar,,topic-is-subject,Graduated High-school,60819,1710583705379,1710583644561,male,English,Denoden,Ceflar,634e7bbcec6f28ed59e5bd59,65f56f52a4fe5d0913280f59,65f560505a0fd1f1dad5a605,Ceflar causes Denoden.,25199,Ceflar is associated with Denoden.,second,second,0
2225,Can you tell me something about Denoden?,66,Denoden causes Rebosen.,Rebosen causes Denoden.,Denoden,,topic-is-PP,Graduated High-school,100527,1710583725626,1710583625099,male,english,Rebosen,Denoden,60a60f05cae5cdc7ba91e73d,65f56f2bc2db2b8f78461ac5,65f560505a0fd1f1dad5a605,Rebosen causes Denoden.,49582,Rebosen is associated with Denoden.,first,second,0
2170,Can you tell me something about Themaglin?,40,Rebosen causes Themaglin.,Themaglin causes Rebosen.,Rebosen,,topic-is-subject,Graduated College,39018,1710583081588,1710583042570,female,,Rebosen,Themaglin,60dd6f413bd206c96f649835,65f56cf7fe590ca65c1640a6,65f560505a0fd1f1dad5a605,Themaglin causes Rebosen.,18465,Themaglin is associated with Rebosen.,second,second,0
2171,Can you tell me something about Ceflar?,65,Ceflar causes Agoriv.,Agoriv causes Ceflar.,Ceflar,,topic-is-subject,Graduated High-school,28622,1710583097228,1710583068606,male,English,Agoriv,Ceflar,5ddfa82bb28cf701132e7a78,65f56d1615749b705e0933f6,65f560505a0fd1f1dad5a605,Agoriv causes Ceflar.,15058,Ceflar is associated with Agoriv.,second,second,0
2172,Can you tell me something about Agoriv?,42,Agoriv causes Flembers.,Flembers causes Agoriv.,Agoriv,,topic-is-subject,Graduated High-school,48460,1710583120645,1710583072185,female,English ,Flembers,Agoriv,6148f254e3e9781ace195ec0,65f56d175e08f6ab54dff347,65f560505a0fd1f1dad5a605,Agoriv causes Flembers.,24015,Agoriv is associated with Flembers.,second,second,0
2182,Can you tell me something about Ceflar?,35,Ceflar causes Rebosen.,Rebosen causes Ceflar.,Ceflar,,topic-is-PP,Higher degree,45372,1710583256419,1710583211047,male,English,Ceflar,Rebosen,5babbd8e4e9ee300019a48bd,65f56d9ec0917460779ce71c,65f560505a0fd1f1dad5a605,Ceflar causes Rebosen.,17882,Rebosen is associated with Ceflar.,second,first,0
2189,Can you tell me something about Themaglin?,37,Ceflar causes Themaglin.,Themaglin causes Ceflar.,Ceflar,,topic-is-PP,Higher degree,30240,1710583370333,1710583340093,male,English,Themaglin,Ceflar,62c4204f8b9b00eabe68f13f,65f56e2768230ec372cd6775,65f560505a0fd1f1dad5a605,Ceflar causes Themaglin.,18688,Ceflar is associated with Themaglin.,second,first,0
2191,Can you tell me something about Rebosen?,53,Rebosen causes Flembers.,Flembers causes Rebosen.,Rebosen,I think it is more likely that Flembers' is more connected or associated with Rebosen as person two directly addresses person one's inquiry about Rebosen by mentioning Flembers. But it's a guess!,topic-is-PP,Higher degree,162269,1710583386570,1710583224301,female,English,Flembers,Rebosen,60258a30f127f411c536a660,65f56db107e74f050a062b10,65f560505a0fd1f1dad5a605,Flembers causes Rebosen.,46067,Flembers is associated with Rebosen.,first,second,0
2193,Can you tell me something about Rebosen?,44,Denoden causes Rebosen.,Rebosen causes Denoden.,Denoden,,topic-is-PP,Higher degree,65159,1710583427021,1710583361862,female,,Rebosen,Denoden,5d88d4ac1496ff001942bf3f,65f56e4ac03a2a1ad9cce62f,65f560505a0fd1f1dad5a605,Rebosen causes Denoden.,46834,Denoden is associated with Rebosen.,second,first,0
2194,Can you tell me something about Ceflar?,60,Themaglin causes Ceflar.,Ceflar causes Themaglin.,Themaglin,,topic-is-subject,Graduated High-school,50930,1710583475937,1710583425007,female,English,Ceflar,Themaglin,6481ebf947159c7efa309af7,65f56e7aa41725db8eff2a50,65f560505a0fd1f1dad5a605,Themaglin causes Ceflar.,27079,Ceflar is associated with Themaglin.,first,first,0
2173,Can you tell me something about Themaglin?,60,Rebosen causes Themaglin.,Themaglin causes Rebosen.,Rebosen,,topic-is-PP,Graduated High-school,58819,1710583070702,1710583011883,male,English,Rebosen,Themaglin,58378b753c7b7f0001fa8af6,65f56d128e2b525b091a8fcf,65f560505a0fd1f1dad5a605,Themaglin causes Rebosen.,40298,Rebosen is associated with Themaglin.,first,second,0
2174,Can you tell me something about Themaglin?,30,Themaglin causes Flembers.,Flembers causes Themaglin.,Themaglin,,topic-is-subject,Higher degree,40906,1710583127477,1710583086571,female,English,Themaglin,Flembers,5895ecee215bed0001e4f32e,65f56cf90480fb47aae8451e,65f560505a0fd1f1dad5a605,Themaglin causes Flembers.,15291,Themaglin is associated with Flembers.,first,first,0
2175,Can you tell me something about Agoriv?,33,Agoriv causes Ceflar.,Ceflar causes Agoriv.,Agoriv,,topic-is-subject,Higher degree,59120,1710583138319,1710583079199,female,English,Agoriv,Ceflar,5f51f05354863a44677a2eef,65f56d20f431a884e74c1cc1,65f560505a0fd1f1dad5a605,Ceflar causes Agoriv.,26900,Agoriv is associated with Ceflar.,first,first,0
2176,Can you tell me something about Ceflar?,28,Themaglin causes Ceflar.,Ceflar causes Themaglin.,Themaglin,,topic-is-subject,Higher degree,45102,1710583154714,1710583109612,female,English ,Ceflar,Themaglin,53889f8dfdf99b75158fddf4,65f56d38a0ffd51e16cd74d8,65f560505a0fd1f1dad5a605,Themaglin causes Ceflar.,24722,Ceflar is associated with Themaglin.,first,first,0
2177,Can you tell me something about Rebosen?,37,Agoriv causes Rebosen.,Rebosen causes Agoriv.,Agoriv,,topic-is-subject,Graduated College,46351,1710583171580,1710583125229,female,English ,Rebosen,Agoriv,62fb8bdc220ef731de457e05,65f56d2cb6cb0b088738e0cf,65f560505a0fd1f1dad5a605,Agoriv causes Rebosen.,13725,Rebosen is associated with Agoriv.,first,first,0
2178,Can you tell me something about Ceflar?,37,Ceflar causes Denoden.,Denoden causes Ceflar.,Ceflar,,topic-is-subject,Graduated College,105843,1710583181850,1710583076007,female,English,Ceflar,Denoden,56221a56ed6e5a000fc7f6a8,65f56d1b07e74f050a062adb,65f560505a0fd1f1dad5a605,Denoden causes Ceflar.,72013,Ceflar is associated with Denoden.,first,first,0
2180,Can you tell me something about Rebosen?,58,Ceflar causes Rebosen.,Rebosen causes Ceflar.,Ceflar,,topic-is-PP,Higher degree,47643,1710583218992,1710583171349,female,English ,Ceflar,Rebosen,612fad8cc0210532817a60cb,65f56d7a4f9d8d272d90d3c7,65f560505a0fd1f1dad5a605,Ceflar causes Rebosen.,25718,Ceflar is associated with Rebosen.,first,second,0
2181,Can you tell me something about Denoden?,45,Rebosen causes Denoden.,Denoden causes Rebosen.,Rebosen,,topic-is-subject,Graduated College,95166,1710583234510,1710583139344,male,English,Denoden,Rebosen,65327e37458aea3ca6a56f7f,65f56d561b19a041bbde1a31,65f560505a0fd1f1dad5a605,Denoden causes Rebosen.,43120,Denoden is associated with Rebosen.,first,first,0
2184,Can you tell me something about Agoriv?,33,Denoden causes Agoriv.,Agoriv causes Denoden.,Denoden,Thank you ,topic-is-PP,,50109,1710583299635,1710583249526,female,English,Denoden,Agoriv,63178648316b49dec1c17fea,65f56dcd9426c824ebce2069,65f560505a0fd1f1dad5a605,Agoriv causes Denoden.,27692,Denoden is associated with Agoriv.,first,second,0
2179,Can you tell me something about Rebosen?,47,Rebosen causes Flembers.,Flembers causes Rebosen.,Rebosen,,topic-is-subject,Graduated High-school,93035,1710583191303,1710583098268,female,English,Rebosen,Flembers,5a15fce9ab721b0001ef8e11,65f56d2bb6cb0b088738e0cd,65f560505a0fd1f1dad5a605,Flembers causes Rebosen.,46137,Rebosen is associated with Flembers.,first,first,0
2183,Can you tell me something about Themaglin?,32,Agoriv causes Themaglin.,Themaglin causes Agoriv.,Agoriv,,topic-is-PP,Graduated College,57197,1710583299787,1710583242590,male,English ,Agoriv,Themaglin,6153639999630a50268d3a3b,65f56dbff1470a09b64cfafe,65f560505a0fd1f1dad5a605,Agoriv causes Themaglin.,24334,Agoriv is associated with Themaglin.,first,second,0
2187,Can you tell me something about Ceflar?,67,Rebosen causes Ceflar.,Ceflar causes Rebosen.,Rebosen,,topic-is-PP,Graduated College,40115,1710583305755,1710583265640,male,English,Rebosen,Ceflar,5c01758473cbae00010f654a,65f56de4a94897240363d3f9,65f560505a0fd1f1dad5a605,Rebosen causes Ceflar.,18176,Rebosen is associated with Ceflar.,first,second,0
2202,Can you tell me something about Rebosen?,61,Flembers causes Rebosen.,Rebosen causes Flembers.,Flembers,,topic-is-subject,Graduated High-school,50072,1710583580517,1710583530445,male,,Flembers,Rebosen,644570d57bfa2bc1597e4982,65f56ee0b5d8fd739f05ff3c,65f560505a0fd1f1dad5a605,Flembers causes Rebosen.,31101,Rebosen is associated with Flembers.,second,second,0
2205,Can you tell me something about Agoriv?,39,Agoriv causes Rebosen.,Rebosen causes Agoriv.,Agoriv,,topic-is-subject,Graduated High-school,50905,1710583607868,1710583556963,female,English,Agoriv,Rebosen,5a783cc02a842c0001fc37d6,65f56efec9dc2e4a90e01c6a,65f560505a0fd1f1dad5a605,Rebosen causes Agoriv.,28436,Agoriv is associated with Rebosen.,first,first,0
2208,Can you tell me something about Flembers?,30,Themaglin causes Flembers.,Flembers causes Themaglin.,Themaglin,,topic-is-PP,Higher degree,51445,1710583619560,1710583568115,male,English,Flembers,Themaglin,5cf656e90acc8f000147f643,65f56f11a4fe5d0913280f49,65f560505a0fd1f1dad5a605,Flembers causes Themaglin.,29674,Themaglin is associated with Flembers.,second,first,0
2213,Can you tell me something about Agoriv?,35,Ceflar causes Agoriv.,Agoriv causes Ceflar.,Ceflar,,topic-is-subject,Graduated College,56520,1710583656661,1710583600141,male,English,Ceflar,Agoriv,610e93f31b3c7d3a1d6e0f4d,65f56f2a3213d7223ce27a1d,65f560505a0fd1f1dad5a605,Agoriv causes Ceflar.,32537,Agoriv is associated with Ceflar.,second,second,0
2216,Can you tell me something about Ceflar?,61,Ceflar causes Denoden.,Denoden causes Ceflar.,Ceflar,,topic-is-PP,Graduated High-school,23084,1710583663108,1710583640024,male,English ,Ceflar,Denoden,644570d57bfa2bc1597e4982,65f56ee0b5d8fd739f05ff3c,65f560505a0fd1f1dad5a605,Denoden causes Ceflar.,2870,Denoden is associated with Ceflar.,second,first,0
