submission_id,trialNR,effect-first,cause-first,effect-first-prepped,cause-first-prepped,nr_characters_effect_first,nr_characters_cause_first
3232,1,Denoden results from Rebosen,F results in T,D results from R,F results in T,16,14
3232,2,D is caused by R,F causes T to happen,D is caused by R,F causes T to happen,16,20
3232,3,D happens because of R,F leads to T,D happens because of R,F leads to T,22,12
3233,1,Denoden is created by Flembers,Agoriv initiates Rebosen,D is created by F,A initiates R,17,13
3233,2,Denoden is a result of Flembers,Agoriv is followed by Rebosen,D is a result of F,A is followed by R,18,18
3233,3,Denoden is a product of Flembers,Agoriv makes Rebosen,D is a product of F,A makes R,19,9
3234,1,C develops into A,R produces T,C develops into A,R produces T,17,12
3234,2,C brings about A,R brings about T,C brings about A,R brings about T,16,16
3234,3,C incurs A,R influences T,C incurs A,R influences T,10,14
3235,1,C is the result of T,D leads to R,C is the result of T,D leads to R,20,12
3235,2,C is due to T,D results in R,C is due to T,D results in R,13,14
3235,3,C happens because of T,D is responsible for R,C happens because of T,D is responsible for R,22,22
3236,1,A follows from T,F results in R,A follows from T,F results in R,16,14
3236,2,A is the result of T,F causes R,A is the result of T,F causes R,20,10
3236,3,A is caused by T,F is the reason for R,A is caused by T,F is the reason for R,16,21
3239,1,T follows from A,R brings F,T follows from A,R brings F,16,10
3239,2,T follows from A,R brings about F,T follows from A,R brings about F,16,16
3239,3,T follows from A,R causes F,T follows from A,R causes F,16,10
3240,1,R is a result of T,D is responsible for F,R is a result of T,D is responsible for F,18,22
3240,2,R is brought on by T,D results in F being present,R is brought on by T,D results in F being present,20,28
3240,3,R is a know effect of T,D leads to F,R is a know effect of T,D leads to F,23,12
3241,1,Themalgin is caused by Denoden.,Flembers initiates Rebosen.,Themalgin is caused by D.,F initiates R.,25,14
3241,2,Denoden is a cause of Themaglin.,Flembers is the cause of Rebosen.,D is a cause of T.,F is the cause of R.,18,20
3241,3,Themalgin originates from Denoden.,Flembers produces Rebosen.,Themalgin originates from D.,F produces R.,28,13
3244,1,Agoriv is caused by Denoden,Rebosen brings about Ceflar,A is caused by D,R brings about C,16,16
3244,2,A follows from D,R brings about C,A follows from D,R brings about C,16,16
3244,3,A caused by D,Rebosen causes C,A caused by D,R causes C,13,10
3246,1,Rebosen is caused by Themaglin,Ceflar leads to Flembers,R is caused by T,C leads to F,16,12
3246,2,Rebosen is caused by Themaglin,Ceflar will lead to Flembers,R is caused by T,C will lead to F,16,16
3246,3,Rebosen is caused by Themaglin,Ceflar is among the causes of Flembers,R is caused by T,C is among the causes of F,16,26
3248,1,themaglin precedes ceflar,flembers causes denoden,T precedes C,F causes D,12,10
3248,2,themaglin comes before ceflar,flembers causes denoden,T comes before C,F causes D,16,10
3248,3,themaglin triggers ceflar,flembers starts denoden,T triggers C,F starts D,12,10
3250,1,Themaglin results from Ceflar.,Robosen results in Agoriv,T results from C.,Robosen results in A,17,20
3250,2,Ceflar leads to Themaglin.,Rebosen is the cause of Agoriv,C leads to T.,R is the cause of A,13,19
3250,3,Themaglin is caused by Ceflar.,Robosen induces Agoriv,T is caused by C.,Robosen induces A,17,17
3253,1,Ceflar is generated from Rebosen,Themaglin generates Flembers,C is generated from R,T generates F,21,13
3253,2,Ceflar is derived from Rebosen,Themaglin is a/the parent of Flembers,C is derived from R,T is a/the parent of F,19,22
3253,3,Ceflar is a product of Rebosen,Themaglin produces Flembers,C is a product of R,T produces F,19,12
3247,1,Themaglin is a direct result of Agoriv.,F results in A,T is a direct result of A.,F results in A,26,14
3247,2,T is a result of A,F eventually becomes R,T is a result of A,F eventually becomes R,18,22
3247,3,T is directly linked to A,F means A,T is directly linked to A,F means A,25,9
3249,1,C is caused by T,A creates D,C is caused by T,A creates D,16,11
3249,2,C is created by T,A leads to D,C is created by T,A leads to D,17,12
3249,3,C is the result of T,A gives rise to D,C is the result of T,A gives rise to D,20,17
