"","submission_id","trialNR","response_prepped","Nchars","prodType"
"1",3232,1,"results in",14,"cause"
"2",3232,2,"causes to happen",20,"cause"
"3",3232,3,"leads to",12,"cause"
"4",3233,1,"initiates",13,"cause"
"5",3233,2,"is followed by",18,"cause"
"6",3233,3,"makes",9,"cause"
"7",3234,1,"produces",12,"cause"
"8",3234,2,"brings about",16,"cause"
"9",3234,3,"influences",14,"cause"
"10",3235,1,"leads to",12,"cause"
"11",3235,2,"results in",14,"cause"
"12",3235,3,"is responsible for",22,"cause"
"13",3236,1,"results in",14,"cause"
"14",3236,2,"causes",10,"cause"
"15",3236,3,"is the reason for",21,"cause"
"16",3239,1,"brings",10,"cause"
"17",3239,2,"brings about",16,"cause"
"18",3239,3,"causes",10,"cause"
"19",3240,1,"is responsible for",22,"cause"
"20",3240,2,"results in being present",28,"cause"
"21",3240,3,"leads to",12,"cause"
"22",3241,1,"initiates",14,"cause"
"23",3241,2,"is the cause of",20,"cause"
"24",3241,3,"produces",13,"cause"
"25",3244,1,"brings about",16,"cause"
"26",3244,2,"brings about",16,"cause"
"27",3244,3,"causes",10,"cause"
"28",3246,1,"leads to",12,"cause"
"29",3246,2,"will lead to",16,"cause"
"30",3246,3,"is among the causes of",26,"cause"
"31",3248,1,"causes", 10,"cause"
"32",3248,2,"causes", 10,"cause"
"33",3248,3,"starts", 10,"cause"
"34",3250,1,"results in",20,"cause"
"35",3250,2,"is the cause of",19,"cause"
"36",3250,3,"induces",17,"cause"
"37",3253,1,"generates",13,"cause"
"38",3253,2,"is a/the parent of",22,"cause"
"39",3253,3,"produces",12,"cause"
"40",3247,1,"results in",14,"cause"
"41",3247,2,"eventually becomes",22,"cause"
"42",3247,3,"means",9,"cause"
"43",3249,1,"creates", 11,"cause"
"44",3249,2,"leads to", 12,"cause"
"45",3249,3,"gives rise to", 17,"cause"
"46",3251,1,"leads to",13,"cause"
"47",3251,2,"is the cause of",20,"cause"
"48",3251,3,"results in",15,"cause"
"49",3256,1,"triggers",12,"cause"
"50",3256,2,"breeds",18,"cause"
"51",3256,3,"activates",21,"cause"
"52",3252,1,"instigates",14,"cause"
"53",3252,2,"triggers",12,"cause"
"54",3252,3,"produces",12,"cause"
"55",3254,1,"is followed by", 18,"cause"
"56",3254,2,"will be followed by", 23,"cause"
"57",3254,3,"will bring about", 20,"cause"
"58",3255,1,"is a result of",18,"cause"
"59",3255,2,"is a cause of",17,"cause"
"60",3255,3,"leads to",12,"cause"
"61",3257,1,"makes appear",16,"cause"
"62",3257,2,"produces",12,"cause"
"63",3257,3,"allows to develop",21,"cause"
"64",3258,1,"results in",14,"cause"
"65",3258,2,"can make happen",19,"cause"
"66",3258,3,"leads to",12,"cause"
"67",3259,1,"causes",10,"cause"
"68",3259,2,"happens because of",22,"cause"
"69",3259,3,"happens as of",17,"cause"
"70",3260,1,"is linked to",16,"cause"
"71",3260,2,"leads to",12,"cause"
"72",3260,3,"creates",11,"cause"
"73",3261,1,"makes happen",25,"cause"
"74",3261,2,"is the cause of",19,"cause"
"75",3261,3,"using creates the conditions for",36,"cause"
"76",3262,1,"causes",48,"cause"
"77",3262,2,"is the root of", 18,"cause"
"78",3262,3,"brings about", 16,"cause"
"79",3263,1,"causes",10,"cause"
"80",3263,2,"starts",10,"cause"
"81",3263,3,"brings on",13,"cause"
"82",3264,1,"is the cause of",19,"cause"
"83",3264,2,"results in",15,"cause"
"84",3264,3,"is because of",17,"cause"
"85",3265,1,"is known to bring upon",26,"cause"
"86",3265,2,"is the leading cause of",27,"cause"
"87",3265,3,"can lead to",15,"cause"
"88",3266,1,"is caused by",16,"cause"
"89",3266,2,"will produce",16,"cause"
"90",3266,3,"happens because of",22,"cause"
"91",3267,1,"makes happen",16,"cause"
"92",3267,2,"induces",11,"cause"
"93",3267,3,"starts",10,"cause"
"94",3273,1,"unless controlled early, will develop into",47,"cause"
"95",3273,2,"is the primary instigator of",32,"cause"
"96",3273,3,"leads to",12,"cause"
"97",3276,1,"is the source of",21,"cause"
"98",3276,2,"is the root of",19,"cause"
"99",3276,3,"is the starting point of",29,"cause"
"100",3284,1,"leads to",12,"cause"
"101",3284,2,"produces",12,"cause"
"102",3284,3,"makes happen",16,"cause"
"103",3268,1,"results in",14,"cause"
"104",3268,2,"has a bi-product of",23,"cause"
